순위,가수,제목
1위,아이유,Love wins all
2위,태연 (TAEYEON),To. X
3위,임재현,비의 랩소디
4위,RIIZE,Love 119
5위,이무진,에피소드
6위,LE SSERAFIM (르세라핌),Perfect Night
7위,aespa,Drama
8위,너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
9위,박재정,헤어지자 말해요
10위,TWS (투어스),첫 만남은 계획대로 되지 않아
11위,(여자)아이들,Wife
12위,범진,인사
13위,정국,Seven (feat. Latto) - Clean Ver.
14위,임영웅,사랑은 늘 도망가
15위,(여자)아이들,Super Lady
16위,IVE (아이브),I AM
17위,RIIZE,Get A Guitar
18위,IVE (아이브),Baddie
19위,VIVIZ (비비지),MANIAC
20위,AKMU (악뮤),Love Lee
21위,태연 (TAEYEON),꿈
22위,성시경,너의 모든 순간
23위,제니 (JENNIE),You & Me
24위,임영웅,모래 알갱이
25위,임영웅,우리들의 블루스
26위,우디 (Woody),사막에서 꽃을 피우듯
27위,NewJeans,Super Shy
28위,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
29위,AKMU (악뮤),후라이의 꿈
30위,임영웅,Do or Die
31위,(여자)아이들,퀸카 (Queencard)
32위,NewJeans,Hype Boy
33위,임영웅,다시 만날 수 있을까
34위,NewJeans,Ditto
35위,정국,Standing Next to You
36위,EXO,첫 눈
37위,DAY6 (데이식스),예뻤어
38위,NewJeans,ETA
39위,임영웅,이제 나만 믿어요
40위,멜로망스,사랑인가 봐
41위,윤하 (YOUNHA),사건의 지평선
42위,임영웅,무지개
43위,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
44위,임영웅,London Boy
45위,볼빨간사춘기,사랑할 수밖에
46위,임영웅,아버지
47위,aespa,Spicy
48위,임한별,사랑하지 않아서 그랬어
49위,임영웅,Polaroid
50위,순순희(기태),그대가 내 안에 박혔다(그내박)
